Date,usd_eur,usd_gbp,usd_jpy,usd_eur_change,usd_gbp_change,usd_jpy_change,eur_volatility,gbp_volatility,jpy_volatility
2015-01-09,1.1796069145202637,1.5087963342666626,119.79199981689453,-0.003373735503850117,-0.0012975468993686734,0.004216636453269418,0.011778530257644356,0.021087649046619084,0.5472734883177216
2015-01-12,1.187070369720459,1.5189489126205444,118.21199798583984,0.006327069728334633,0.006728925649740702,-0.013189543821538696,0.009619215421826494,0.01689230973992958,0.7522158586229162
2015-01-13,1.1831519603729248,1.5170363187789917,118.3280029296875,-0.0033009073829860514,-0.0012591561346543267,0.0009813296943137484,0.005587635916780851,0.007385594229416503,0.8100727030160798
2015-01-14,1.1778285503387451,1.5170363187789917,117.79499816894531,-0.004499345994830373,0.0,-0.004504468490513669,0.005401920344180796,0.005653106923786118,0.7311457308292025
2015-01-15,1.1785920858383179,1.5234380960464478,117.38999938964844,0.0006482569125643156,0.004219923536576076,-0.003438166183559077,0.003944267919277178,0.004995303023587148,0.8329974691282567
2015-01-16,1.1637378931045532,1.5181187391281128,116.12999725341797,-0.012603336567629353,-0.003491679072578968,-0.010733470847445803,0.007509103849718163,0.004989911616023743,1.2118304463336365
2015-01-19,1.1566041707992554,1.5142109394073486,117.55999755859375,-0.006130007751373401,-0.0025741067678332064,0.012313789193116431,0.0109480231455532,0.00449619804453668,1.1089480145295376
2015-01-20,1.1597968339920044,1.5090012550354004,117.71199798583984,0.0027603766901020954,-0.003440527496114454,0.0012929604491556113,0.01212446251627103,0.0044356769438465195,0.725826505198015
2015-01-21,1.1546944379806519,1.5147384405136108,118.64900207519531,-0.004399387773624253,0.0038019752860152245,0.007960140898026324,0.01176415439325126,0.004385207436124278,0.8029780469358561
2015-01-22,1.1615345478057861,1.5144860744476318,117.86000061035156,0.005923740168954472,-0.0001666070254964236,-0.006649878642415508,0.009712428493755499,0.004412491823269675,0.7553847455524484
2015-01-23,1.1346745491027832,1.5013211965560913,118.7509994506836,-0.023124580111494097,-0.008692637135235493,0.007559806853197681,0.013087804070696523,0.006971096844473591,0.8763806528759163
2015-01-26,1.1125450134277344,1.4995876550674438,117.36100006103516,-0.019502980561736605,-0.0011546772886601442,-0.01170515950247386,0.018776214270332537,0.007195523552688127,0.8782765403239122
2015-01-27,1.1247708797454834,1.5085458755493164,118.5199966430664,0.01098909812204485,0.005973789162374565,0.00987548317949316,0.019471107216793303,0.006295071259210594,0.5679938526121322
2015-01-28,1.1367381811141968,1.5188103914260864,117.7750015258789,0.010639768137864047,0.00680424509664479,-0.006285817906586,0.01867730765245074,0.00713316294853847,0.5417179964722529
2015-01-29,1.1281461715698242,1.5142338275909424,117.59200286865234,-0.007558477129668395,-0.003013255545905813,-0.0015537988100671196,0.017036896161388464,0.007343417443995583,0.5573359767300409
2015-01-30,1.13355553150177,1.5079090595245361,118.24800109863281,0.004794910507402328,-0.004176876748598679,0.005578595601549496,0.01494912871070889,0.007096640965523297,0.5065030950588703
2015-02-02,1.1309019327163696,1.5087052583694458,117.18399810791016,-0.002340951732540897,0.0005280151610473904,-0.008998063230135744,0.008220238205612448,0.006714637507136074,0.5973435080933187
2015-02-03,1.1341726779937744,1.5028102397918701,117.57499694824219,0.002892156413198954,-0.003907336137972228,0.0033366231451839035,0.008162055140454549,0.006470498136071737,0.47763125410117374
2015-02-04,1.145737886428833,1.5142109394073486,117.64600372314453,0.010197043765431069,0.007586253615797345,0.0006039275079343653,0.00673653923168165,0.00531091406091353,0.45023571019047137
2015-02-05,1.131874680519104,1.5180034637451172,117.28800201416016,-0.012099805787988194,0.0025046208814558657,-0.0030430418174411944,0.005664043959054367,0.005834914734673813,0.34690782753307997
2015-02-06,1.147196888923645,1.5325905084609985,117.53500366210938,0.013537018424613745,0.009609361944335149,0.0021059413043749142,0.007462996997231253,0.009592078437165603,0.34030547287282753
2015-02-09,1.1314393281936646,1.523902416229248,118.97000122070312,-0.013735707342063086,-0.0056688934087650855,0.012209108043413908,0.006977768660369588,0.01029090725530772,0.6261502339901236
2015-02-10,1.1326953172683716,1.5216069221496582,118.56300354003906,0.0011100808001009987,-0.001506326163108196,-0.003421010981659478,0.007043707526646953,0.009914004762469831,0.6749738746598308
2015-02-11,1.1321951150894165,1.526205062866211,119.35800170898438,-0.00044160346681876295,0.0030218978696920917,0.006705280274692527,0.0068942606013430155,0.009554735135361276,0.8171347267718797
2015-02-12,1.131196141242981,1.5242739915847778,120.16999816894531,-0.000882333648256961,-0.001265276422164785,0.006803033297597683,0.007146955196865808,0.005899649896070634,1.0707683697033665
2015-02-13,1.140393853187561,1.5391956567764282,118.91600036621094,0.008130961209320775,0.009789358917117186,-0.01043519865059328,0.006156102103351352,0.007143596596463289,1.006786325079394
2015-02-16,1.1400039196014404,1.5400489568710327,118.56999969482422,-0.00034192887398565297,0.000554380523910547,-0.002909622509344234,0.006172403260429278,0.007598120918467341,0.8069190679190977
2015-02-17,1.1334012746810913,1.5356265306472778,118.49199676513672,-0.005791773876231532,-0.002871614050984461,-0.0006578639612740966,0.003980913315860941,0.007873022982480618,0.5970389374896067
2015-02-18,1.1404719352722168,1.5353436470031738,119.20800018310547,0.0062384441848408745,-0.00018421382963784705,0.006042631042735724,0.004285219909087357,0.007547306013246768,0.6014362101384622
2015-02-19,1.1400039196014404,1.543900728225708,118.68900299072266,-0.0004103701777322666,0.005573398007173713,-0.004353711089739143,0.004302867213120475,0.007248031829154021,0.5864961453161764
2015-02-20,1.1366735696792603,1.5419963598251343,118.98799896240234,-0.0029213495365388864,-0.0012334785299067397,0.0025191548007448272,0.0038067733712246463,0.006493683403044537,0.5713858736102869
2015-02-23,1.1381484270095825,1.5389113426208496,119.07599639892578,0.0012975205632153042,-0.0020006643884908915,0.0007395488393013849,0.0026277999415903934,0.0031173225416481565,0.2692915053640209
2015-02-24,1.1332985162734985,1.5452368259429932,118.90299987792969,-0.004261228694772967,0.004110362401625434,-0.0014528244669608226,0.003079274642253398,0.003839706181183676,0.26879217725151405
2015-02-25,1.1339025497436523,1.545905590057373,118.89199829101562,0.0005329870828207905,0.00043279069146673343,-9.252573043028178e-05,0.003092373031243991,0.004409319028246876,0.23953276883028918
2015-02-26,1.1363636255264282,1.552891492843628,118.8219985961914,0.0021704473487005327,0.004518971165629493,-0.0005887670813041757,0.002774910268706265,0.005582604932563146,0.16991147106969712
2015-02-27,1.1205360889434814,1.5418059825897217,119.37699890136719,-0.013928232325823187,-0.0071386251421898805,0.004670854822615089,0.006424523245791775,0.004433777316256286,0.21923355366420422
2015-03-02,1.1161960363388062,1.5406184196472168,119.82599639892578,-0.003873193061338487,-0.0007702414933623558,0.0037611726018473846,0.008697806958848885,0.004660472847694939,0.35857174944455994
2015-03-03,1.1179054975509644,1.5359095335006714,120.2040023803711,0.0015315062556262582,-0.0030564908782693134,0.0031546241450548518,0.009423199233302246,0.005558263763394676,0.5326910913772257
2015-03-04,1.118217945098877,1.5366648435592651,119.63700103759766,0.000279493703713829,0.0004917672832411846,-0.004716992209454318,0.008857474232804485,0.005891251948682711,0.5355669052730277
2015-03-05,1.1082050800323486,1.52650785446167,119.6510009765625,-0.008954305473646285,-0.006609762135293851,0.00011702014296099961,0.010034617795198736,0.00831254670006232,0.49778873463858503
2015-03-06,1.1032048463821411,1.5247621536254883,120.04499816894531,-0.004512011125288762,-0.0011435911260326836,0.0032928867219421676,0.010469649193449703,0.009573206996093158,0.4571984003347708
2015-03-09,1.0845986604690552,1.5057746171951294,120.73899841308594,-0.016865576664300552,-0.012452785757576357,0.005781167518232877,0.012740167082463122,0.012631822073634454,0.4514714476332591
2015-03-10,1.0833414793014526,1.5104827880859375,121.40799713134766,-0.0011591210771538796,0.0031267434296231578,0.005540866886876605,0.015076659090965883,0.013398022926260722,0.6494017759397603
2015-03-11,1.0708701610565186,1.508204698562622,121.03800201416016,-0.011511899510185497,-0.0015081863502742765,-0.003047534972405619,0.01855939851656798,0.013026074464362972,0.6885690344848303
2015-03-12,1.0548745393753052,1.4932951927185059,121.41100311279297,-0.014937031829733827,-0.00988559832649083,0.0030816858542423997,0.02224453444075287,0.014831357758937585,0.7796637535671597
2015-03-13,1.0626314878463745,1.4894028902053833,121.31800079345703,0.0073534322628197035,-0.00260651914778931,-0.0007660122802011227,0.01989172643822891,0.014118009156239154,0.7026009444964209
